,inv_2 cp_1,inv_3 cp_2,inv_4 cp_2,inv_4 cp_3,inv_5 cp_3,inv_6 cp_3,inv_5 cp_4,inv_6 cp_4,inv_6 cp_5,inv_7 cp_6,inv_8 cp_7
0,32.0,55.0,57.0,63,65,65,65,65,65,65,65
1,,,,65,65,65,65,65,65,65,65
2,,,,65,65,65,65,65,65,65,65
3,,,,65,65,65,65,65,65,65,65
4,,,,65,65,65,65,65,65,65,65
5,,,,65,65,65,65,65,65,65,65
6,,,,65,65,65,65,65,65,65,65
7,,,,65,65,65,65,65,65,65,65
8,,,,65,65,65,65,65,65,65,65
9,,,,64,65,65,65,65,65,65,65
10,,,,65,65,65,65,65,65,65,65
11,,,,65,65,65,65,65,65,65,65
12,,,,63,65,65,65,65,65,65,65
13,,,,65,65,65,65,65,65,65,65
14,,,,65,65,65,65,65,65,65,65
15,,,,65,65,65,65,65,65,65,65
16,,,,65,65,65,65,65,65,65,65
17,,,,65,65,65,65,65,65,65,65
18,,,,65,65,65,65,65,65,65,65
19,,,,65,64,65,65,65,65,65,65
20,,,,65,65,65,65,65,65,65,65
21,,,,65,65,65,65,65,65,65,65
22,,,,65,65,65,65,65,65,65,65
23,,,,65,65,65,65,65,65,65,65
24,,,,63,65,65,65,65,65,65,65
25,,,,65,65,65,64,65,65,65,65
26,,,,65,65,65,65,65,65,65,65
27,,,,64,65,65,65,65,65,65,65
28,,,,65,65,65,65,65,65,65,65
29,,,,65,65,65,65,65,65,65,65
