,cp_9,cp_10,cp_11,cp_12,cp_13,cp_14,cp_15
0,63,61,65,65,65,65,65
1,60,63,64,65,65,65,65
2,64,65,65,65,65,65,65
3,61,65,64,65,65,65,65
4,63,64,65,65,65,65,65
5,64,61,63,65,65,65,65
6,61,65,65,65,65,65,65
7,62,60,65,65,65,65,65
8,64,63,65,65,65,65,65
9,62,64,64,65,65,65,65
10,62,65,65,65,65,65,65
11,64,65,65,65,65,65,65
12,63,62,65,65,65,65,65
13,64,65,65,65,65,65,65
14,60,65,64,65,65,65,65
15,61,64,64,64,65,65,65
16,63,62,65,65,65,65,65
17,64,65,65,65,65,65,65
18,60,64,64,65,65,65,65
19,62,64,65,65,65,65,65
20,62,64,65,65,65,65,65
21,62,63,65,65,65,65,65
22,62,64,65,65,65,65,65
23,63,64,65,65,65,65,65
24,62,64,64,64,65,65,65
25,59,65,64,65,65,65,65
26,62,65,64,65,65,65,65
27,60,64,65,65,65,65,65
28,62,65,65,65,65,65,65
29,62,64,65,64,65,65,65
