,inv_2 cp_1,inv_3 cp_1,inv_4 cp_1,inv_5 cp_1,inv_3 cp_2,inv_4 cp_2,inv_5 cp_2,inv_6 cp_2,inv_7 cp_2,inv_8 cp_2,inv_9 cp_2,inv_10 cp_2,inv_4 cp_3,inv_5 cp_3,inv_6 cp_3,inv_7 cp_3,inv_8 cp_3,inv_9 cp_3,inv_10 cp_3,inv_11 cp_3,inv_12 cp_3,inv_13 cp_3,inv_14 cp_3,inv_15 cp_3,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_9 cp_4,inv_10 cp_4,inv_11 cp_4,inv_12 cp_4,inv_13 cp_4,inv_14 cp_4
0,12.0,17.0,21.0,20.0,30.0,33.0,34.0,39.0,39.0,41.0,42.0,47.0,47.0,53.0,50.0,54.0,58.0,61.0,63.0,58.0,60.0,65.0,64,63,58.0,57.0,63.0,65.0,65,63,65,65,65,65
1,,,,,,,,,,,,,,,,,,60.0,60.0,,63.0,65.0,65,65,,,61.0,63.0,64,65,65,65,65,65
2,,,,,,,,,,,,,,,,,,56.0,61.0,,64.0,63.0,62,65,,,61.0,64.0,64,62,64,65,65,65
3,,,,,,,,,,,,,,,,,,,61.0,,63.0,65.0,63,63,,,63.0,65.0,65,64,65,65,63,65
4,,,,,,,,,,,,,,,,,,,59.0,,63.0,65.0,63,65,,,64.0,64.0,65,65,65,65,65,65
5,,,,,,,,,,,,,,,,,,,60.0,,62.0,63.0,62,65,,,65.0,56.0,64,65,65,65,63,65
6,,,,,,,,,,,,,,,,,,,59.0,,60.0,61.0,65,62,,,63.0,,65,65,65,65,65,65
7,,,,,,,,,,,,,,,,,,,57.0,,61.0,65.0,65,65,,,64.0,,64,65,65,65,65,65
8,,,,,,,,,,,,,,,,,,,,,60.0,64.0,65,62,,,60.0,,65,65,65,65,65,65
9,,,,,,,,,,,,,,,,,,,,,63.0,64.0,65,64,,,64.0,,65,65,65,65,65,65
10,,,,,,,,,,,,,,,,,,,,,58.0,64.0,64,65,,,58.0,,64,65,64,65,65,65
11,,,,,,,,,,,,,,,,,,,,,,61.0,65,64,,,,,65,65,64,65,65,65
12,,,,,,,,,,,,,,,,,,,,,,64.0,62,64,,,,,65,65,65,65,65,65
13,,,,,,,,,,,,,,,,,,,,,,63.0,64,60,,,,,63,65,65,65,65,65
14,,,,,,,,,,,,,,,,,,,,,,57.0,63,62,,,,,65,65,65,65,65,65
15,,,,,,,,,,,,,,,,,,,,,,,65,65,,,,,65,65,65,65,65,65
16,,,,,,,,,,,,,,,,,,,,,,,62,65,,,,,65,65,65,63,65,65
17,,,,,,,,,,,,,,,,,,,,,,,65,65,,,,,65,65,65,65,65,65
18,,,,,,,,,,,,,,,,,,,,,,,65,64,,,,,65,61,65,65,65,65
19,,,,,,,,,,,,,,,,,,,,,,,65,63,,,,,64,65,65,63,65,65
20,,,,,,,,,,,,,,,,,,,,,,,61,64,,,,,65,65,65,65,65,65
21,,,,,,,,,,,,,,,,,,,,,,,60,63,,,,,65,65,65,65,65,65
22,,,,,,,,,,,,,,,,,,,,,,,63,65,,,,,64,65,64,65,65,65
23,,,,,,,,,,,,,,,,,,,,,,,65,65,,,,,65,65,65,65,65,65
24,,,,,,,,,,,,,,,,,,,,,,,62,62,,,,,65,64,63,62,65,65
25,,,,,,,,,,,,,,,,,,,,,,,61,65,,,,,65,65,65,65,65,65
26,,,,,,,,,,,,,,,,,,,,,,,60,63,,,,,63,64,64,64,65,65
27,,,,,,,,,,,,,,,,,,,,,,,64,65,,,,,65,64,65,65,65,65
28,,,,,,,,,,,,,,,,,,,,,,,61,65,,,,,63,65,65,65,65,65
29,,,,,,,,,,,,,,,,,,,,,,,65,65,,,,,64,63,65,65,65,65
