,inv_1 cp_1,inv_2 cp_1,inv_3 cp_1,inv_4 cp_1,inv_5 cp_1,inv_6 cp_1,inv_7 cp_1,inv_8 cp_1,inv_9 cp_1,inv_2 cp_2,inv_3 cp_2,inv_4 cp_2,inv_5 cp_2,inv_6 cp_2,inv_7 cp_2,inv_8 cp_2,inv_9 cp_2,inv_3 cp_3,inv_4 cp_3,inv_5 cp_3,inv_6 cp_3,inv_7 cp_3,inv_8 cp_3,inv_9 cp_3,inv_4 cp_4,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_9 cp_4,inv_5 cp_5,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_6 cp_6,inv_7 cp_6,inv_8 cp_6,inv_9 cp_6,inv_7 cp_7,inv_8 cp_7,inv_9 cp_7
0,18.0,26.0,27.0,37.0,40.0,34.0,36.0,37.0,42.0,42.0,51.0,57,59,61,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
1,,,,,,,,,,,51.0,56,62,64,65,65,65,65,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
2,,,,,,,,,,,54.0,58,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
3,,,,,,,,,,,54.0,57,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
4,,,,,,,,,,,55.0,57,63,61,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
5,,,,,,,,,,,53.0,60,59,64,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
6,,,,,,,,,,,50.0,52,60,60,65,65,65,62,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
7,,,,,,,,,,,53.0,58,54,65,64,65,65,61,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
8,,,,,,,,,,,47.0,61,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
9,,,,,,,,,,,,58,63,62,60,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
10,,,,,,,,,,,,59,64,65,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
11,,,,,,,,,,,,60,61,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
12,,,,,,,,,,,,59,63,65,65,65,65,63,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
13,,,,,,,,,,,,56,59,64,65,65,65,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
14,,,,,,,,,,,,59,61,63,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
15,,,,,,,,,,,,55,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
16,,,,,,,,,,,,61,61,62,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
17,,,,,,,,,,,,57,59,60,65,64,65,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
18,,,,,,,,,,,,56,59,65,65,65,65,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
19,,,,,,,,,,,,60,58,65,65,63,65,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
20,,,,,,,,,,,,56,59,62,65,64,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
21,,,,,,,,,,,,50,61,60,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
22,,,,,,,,,,,,60,63,65,65,65,65,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
23,,,,,,,,,,,,54,62,65,65,65,65,61,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
24,,,,,,,,,,,,55,60,64,58,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
25,,,,,,,,,,,,58,64,61,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
26,,,,,,,,,,,,62,58,64,65,65,65,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
27,,,,,,,,,,,,60,58,61,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
28,,,,,,,,,,,,58,61,61,62,63,65,62,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
29,,,,,,,,,,,,58,65,65,65,65,65,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
